PositiveTrainSet,NegativeTrainSet,NeutralTrainSet,FeatureSetCode,TestSetLimit,Iteration,Accuracy,PrecisionPositive,PrecisionNegative,PrecisionNeutral,RecallPositive,RecallNegative,RecallNeutral,fScorePositive,fScoreNegative,fScoreAverage
1176,538,8601,12284,15,0,0.5121,0.487,0.6734,0.5072,0.2211,0.0836,0.5072,0.3042,0.1488,0.2265
2490,753,7072,12284,15,1,0.4928,0.485,0.75,0.4932,0.1634,0.0008,0.4932,0.2444,0.0016,0.123
2191,540,7584,12284,15,2,0.4329,0.32,0.75,0.4891,0.5507,0.0008,0.4891,0.4048,0.0016,0.2032
3117,540,6658,12284,15,3,0.3039,0.2394,1,0.4399,0.8404,0.0005,0.4399,0.3726,0.001,0.1868
4972,538,4805,12284,15,4,0.2143,0.2033,1,0.3592,0.9777,0.0003,0.3592,0.3366,0.0006,0.1686
7505,538,2272,12284,15,5,0.1933,0.1933,0,0,1,0,0,0.324,0,0.162
8054,538,1723,12284,15,6,0.1933,0.1933,0,0,1,0,0,0.324,0,0.162
8054,538,1723,12284,15,7,0.1933,0.1933,0,0,1,0,0,0.324,0,0.162
8054,538,1723,12284,15,8,0.1933,0.1933,0,0,1,0,0,0.324,0,0.162
8054,538,1723,12284,15,9,0.1933,0.1933,0,0,1,0,0,0.324,0,0.162
8054,538,1723,12284,15,10,0.1933,0.1933,0,0,1,0,0,0.324,0,0.162
